`,holderstaffflag,policyriskcommencementdate,policytechnicalid_m,holdertechnicalid_m,contactcity_m,contactareatype_m,policy_annualized_premium,contactpostcode_m,policybenefitterm,policynumber_m,agentownlifeflag,channeltype_m,contactstate_m,banktechnicalid_m,channeltechnicalid_m,serviceregionnameops_m,edc,requirementnonmedicalflag,underwritingdecisionstatus_m,policytype_m,productplan,um_bdm_code_m,premiumpaymentfrequency_m,servicebranchops_m,policytypesub_m,policy_sum_assured,hniflag,underwritingexpressflag,vedc,productid_m,requirementmedicalflag,nomineerelation_m,holdermaritalstatus,holdereducation,holdercountry_m,beneficiaryrelation_m,lifeassuredrelation_m,lifeassuredgender_m,natureofduties,holdernationalite,holderqualification,gogreenflag,preferredlanguage_m,holder_annual_income,panverified,holderoccupation,premiumpaymentfrequency
11,No,7/1/21,929b7bc952,ad49f069a4,972b01,58,18036.76,129932,15,00a8d93a56,N,331f,b629fd,7e495a,4fc0b38a3f,b629,0,1,edce,2ed4,Series 3,9577208,bf55,a6b288,66c3,200000,N,0,0,7d8e,1,7e,Married,Graduate,INDIA,,c7,9c,DATA ENTRY,,Graduate,N,TELGU,200000,N,Service,Half yearly
12,No,7/1/21,9177849e2c,87a4b6ff60,c10493,58,5000,773899,15,c04f97ebfa,N,331f,b78361,7e495a,502871bcf7,f7b0,0,1,edce,2ed4,Series 2,,d4cd,3caed3,5743,275000,N,0,0,b68b,0,1f,Married,School (upto 10th),INDIA,a9,a9,aa,,,SSC,N,HINDI,300000,N,Self-Employed,Yearly
13,No,4/1/21,7e0ace2dee,c10aa803ae,f57252,,100000,787779,8,df010dc987,N,e62e,b78361,e56f7f,acd2666904,f7b0,0,1,edce,c4e8,Series 3,9995484,d4cd,82a624,c4e8,1000000,Y,,0,d2a9,1,3d,Married,PG / Professional,INDIA,a9,a9,aa,OWNER,,Post Graduate,N,HINDI,1100000,N,Business,Yearly
14,No,11/1/21,339942c7c4,807edfa111,dbc0e5,58,85813.32,196245,28,d341d8e127,N,e62e,b629fd,68c721,3f4df56299,b629,0,1,edce,2ed4,Series 2,9501040,d4cd,21afb2,5743,1000000,N,0,0,81db,0,1f,Married,Intermediate (10+2),INDIA,a9,a9,aa,MANAGER,,HSC,N,TELGU,660000,N,Business,Yearly
15,No,5/1/21,a201839ca4,6b935dcffd,6c362e,58,40000,750471,12,14286b4673,N,e62e,b78361,e6f597,dca618586b,f7b0,0,1,a48c,c4e8,Series 2,5105356,d4cd,8a5830,c4e8,400000,N,0,0,,0,1f,Married,Graduate,INDIA,a9,a9,aa,SAFAI KARAMCHARI,,Graduate,N,HINDI,600000,N,Service,Yearly
16,No,7/1/21,bf2d06386a,3f4a31afc8,193508,58,208876.3,222559,15,f126788f34,N,e62e,f114ce,7dd278,b0d55ef35a,eca2,0,1,edce,2ed4,Series 3,5637286,d4cd,f7f79e,66c3,1000000,N,0,0,a7d8,1,1f,Married,School (upto 10th),INDIA,a9,a9,aa,DEFENCE RETIRED,,SSC,N,HINDI,720000,N,Defense Retired,Yearly
17,No,8/1/21,e2630dcd0d,c002bee59d,324b21,2483,50000,122717,10,d5c2b66a2d,N,e62e,b629fd,47be51,665be88ec2,b629,0,1,edce,c4e8,Series 2,9551373,d4cd,d37e51,c4e8,0,N,0,0,2734,0,3d,Married,Intermediate (10+2),INDIA,a9,a9,9c,TEXTILE BUSSINESS,,HSC,N,TELGU,600000,N,Business,Yearly
18,No,11/1/21,f39977e758,e11e2e6215,4fcfa5,2483,4110.18,805524,13,427ec20cec,N,e62e,acb844,99f20a,006e65166e,c586,0,1,5fd3,2ed4,Level Term Assurance - Series 6,5388290,d4cd,84a991,5743,2800000,N,0,0,8fe6,1,3d,Married,PG / Professional,INDIA,a9,a9,9c,TEACHER,,Post Graduate,N,HINDI,420000,N,Service,Yearly
19,No,20/1/21,805975b8f9,3f58cbeed5,7e495a,58,1000000,5,10,719fef9bca,N,e62e,c604f7,79a245,75ad01fe69,0ff1,0,1,edce,c4e8,Series 2,5171944,d4cd,5a639a,c4e8,0,Y,0,0,2734,0,fc,Married,PG / Professional,NRI,a9,a9,9c,SELF EMPLOYED,,CA,N,ENGLISH,1000000,N,Self-Employed,Yearly
20,No,5/1/21,8724f422e8,e3dd9ccc71,495954,2483,50000,172913,12,17f1c8b21e,N,e62e,b629fd,cfd458,1457b61f18,b629,0,1,5fd3,c4e8,Series 2,9931565,d4cd,bda6d4,c4e8,500000,N,0,0,efc5,1,3d,Married,Graduate,INDIA,a9,a9,aa,SENIOR ASST,2,Graduate,N,TELGU,950000,N,Service,Yearly
21,No,5/1/21,3a8e792b30,c0cf47bf74,7ac09e,58,17392.72,754783,10,c62177fd1c,N,e62e,b78361,4801cd,d5e05a9fee,f7b0,0,1,5fd3,2ed4,Series 2,5641354,d4cd,8a5830,5743,1000000,N,0,0,81db,0,fc,Married,Graduate,INDIA,a9,a9,aa,GD,,Graduate,N,HINDI,480000,N,BSF,Yearly
22,No,7/1/21,a41c19d03e,6dda6c846d,2c9040,2483,15101.92,868449,15,0ebf554eb8,N,331f,aedf2f,7e495a,564a8c2361,c586,0,1,edce,2ed4,Series 3,9740431,d4cd,947aa3,66c3,170000,N,0,0,f6f8,0,3d,Married,School (upto 10th),INDIA,a9,a9,aa,AGRICULTURE MACHINE,,Below SSC,N,HINDI,240000,N,Business,Yearly
23,No,11/1/21,d735993f00,d9de2986a7,3fc0a0,58,6059.3,287559,20,2f450764b1,N,e62e,f114ce,47e4a4,4ceb9544fb,eca2,0,1,edce,2ed4,Level Term Assurance - Series 6,5485022,d4cd,9709ef,,2500000,N,0,0,8fe6,1,1f,Married,Graduate,INDIA,a9,a9,aa,PRANAV DIGITAL PHOTOGRAPHY,,Graduate,N,HINDI,480000,N,Profession,Yearly
24,No,4/1/21,22f3a995f6,50cd3dc432,,58,100000,125577,12,a18891e872,N,e62e,b629fd,0ae6d3,7acc8d6071,b629,0,1,edce,c4e8,Series 2,5647483,d4cd,7b4d3f,c4e8,1000000,Y,0,0,efc5,0,c7,Married,PG / Professional,INDIA,a9,a9,9c,PROPRIETOR,2,Post Graduate,N,ENGLISH,800000,N,Business,Yearly
25,Yes,6/1/21,508f218507,7e89048a72,c20544,58,51125,257594,15,9f8e1082ff,N,e62e,f114ce,623521,344ed77aba,eca2,0,1,a48c,2ed4,Series 3,5145519,d4cd,f6e22c,803,420000,N,0,0,56ca,0,12,Single,Graduate,INDIA,,a9,aa,STUDENT,,Graduate,N,HINDI,540000,N,Student,Yearly
26,No,8/1/21,345e04b838,8dff389f5f,a518e2,58,26585.48,813559,11,13d08da2c9,N,e62e,aedf2f,bd96da,cf21712d19,c586,0,1,edce,2ed4,Series 2,9961690,d4cd,3a5d56,5743,534000,N,0,0,81db,1,fc,Married,Intermediate (10+2),INDIA,a9,a9,aa,ALM,,HSC,N,HINDI,960000,N,Service,Yearly
27,No,11/1/21,9883213d80,5ecf8f54bb,17773,58,45351.66,260795,10,293f4b18d5,N,e62e,766048,e60d07,4a5f000fb5,047e,0,1,edce,2ed4,Series 2,9529480,d4cd,a4a2d6,5743,710000,N,0,0,81db,1,1f,Married,Graduate,INDIA,a9,a9,aa,TEACHER,,Graduate,N,GUJARATI,840000,N,Service,Yearly
28,No,4/1/21,3a66d28f31,8883e4cc3f,c70f84,58,9637.68,221172,35,337870cf8f,N,a3d7,f114ce,7e495a,1ace0f1ae4,eca2,0,1,edce,2ed4,Level Cover - Series 4,5,124d,6a6446,5743,6000000,N,0,0,3.20E+07,1,1f,Married,Graduate,INDIA,a9,a9,aa,ACCOUNTANT,,Graduate,N,ENGLISH,420000,N,Service,Quarterly
29,No,7/1/21,23cc175776,7eb6c99648,2c9040,2483,24839.38,868339,10,bdbaa5b8b4,N,331f,aedf2f,7e495a,8a8c6f0c3b,c586,0,1,edce,2ed4,Series 3,9952708,d4cd,dec282,66c3,160000,N,0,0,f6f8,0,c7,Married,Intermediate (10+2),INDIA,a9,a9,aa,SUPERVISOER,,HSC,N,ENGLISH,240000,N,Service,Yearly
30,No,12/1/21,af2202199c,7983204516,1.12E+32,2483,52147.44,802332,15,23cb83467d,N,331f,acb844,7e495a,ce2da0d168,c586,0,1,edce,2ed4,Series 3,5659719,37bf,5a1ea0,803,385000,N,0,0,56ca,0,1f,Married,Graduate,INDIA,a9,a9,aa,BUSINESS,,Graduate,N,HINDI,600000,N,Business,Monthly
31,No,14/1/21,3756afe87c,8dbb021015,eb31d7,58,40000,782259,12,fd0e2b570f,N,e62e,b78361,b35e7a,cfbf18daec,,0,1,edce,c4e8,Series 2,5009474,d4cd,ecb8c7,c4e8,,N,0,0,efc5,1,1f,Married,Intermediate (10+2),INDIA,a9,a9,aa,OWNER,,HSC,N,HINDI,420000,N,Business,Yearly
32,No,6/1/21,8e72307fa1,6766521859,193508,58,50000,222559,12,cabaeb7c25,N,e62e,f114ce,b7265f,a922dd4515,eca2,0,1,edce,c4e8,Series 2,5184546,d4cd,f7f79e,c4e8,500000,Y,0,0,efc5,1,1f,Married,Graduate,INDIA,a9,a9,aa,BUSINESS MAN,,Graduate,N,HINDI,850000,N,Business,Yearly
33,No,4/1/21,e0a9649129,aebe8d7afd,ea2314,58,75000,799554,12,a5c55f1fb4,N,e62e,b78361,b5e5df,4dcb9f16eb,f7b0,0,1,a48c,c4e8,Series 2,5103941,d4cd,79a06f,c4e8,750000,N,0,0,efc5,0,1f,Married,,INDIA,a9,a9,aa,DOCTOR GOVERNMENT HOSPITAL,,Post Graduate/Professional,N,ENGLISH,1800000,N,Service,Yearly
34,No,6/1/21,cd8014bdb7,22e887665f,86be00,58,40000,750659,12,21f6ee6fe4,N,f3e3,b78361,704dbb,6da81cf81f,f7b0,0,1,edce,c4e8,Series 2,5,d4cd,82a624,c4e8,400000,N,0,0,efc5,0,3d,Married,Graduate,INDIA,a9,a9,aa,BUSINESS OWNER,,Graduate,N,HINDI,400000,N,Business,Yearly
35,No,5/1/21,d737c908c8,7919282fd6,342f9b,58,50000,864664,12,74af583fa0,N,331f,aedf2f,7e495a,8.34E+85,c586,0,1,edce,c4e8,Series 2,5338544,d4cd,dec282,c4e8,500000,N,0,0,efc5,0,,Married,Intermediate (10+2),INDIA,a9,a9,aa,BUSINESS MAN,,HSC,N,ENGLISH,360000,N,Business,Yearly
36,No,13/1/21,8d4bc0df76,fe7cfe42f8,3fc0a0,58,50000,287559,12,1e6a3928f5,N,e62e,f114ce,a4b104,6cbdad4e26,eca2,0,1,5fd3,c4e8,Series 2,9964790,d4cd,9709ef,c4e8,500000,N,0,0,efc5,1,1b,Married,Graduate,INDIA,a9,a9,9c,HOUSEWIFE,,Graduate,N,ENGLISH,500000,N,Housewife,Yearly
37,No,8/1/21,a97037fc72,5871b95fa3,c20544,58,35450.08,257557,10,c49f3ca139,N,e62e,f114ce,20aea3,b11a8caab6,eca2,0,1,edce,2ed4,Series 2,5310706,d4cd,f6e22c,5743,500000,N,0,0,81db,1,,widowed,Graduate,INDIA,a9,a9,9c,CONSTABLE,,Graduate,N,HINDI,600000,N,Service,Yearly
38,No,21/1/21,40fa3f6481,199ea55571,b25517,58,99000,258652,10,d1167e286a,N,e62e,f114ce,2928ad,0b58ef4d9c,eca2,0,1,edce,c4e8,Series 2,5350574,d4cd,c055e1,c4e8,0,N,0,0,2734,0,3d,Married,Graduate,INDIA,a9,a9,9c,DEFENCE RETIRED,,Graduate,N,HINDI,480000,N,Housewife,Yearly
39,No,6/1/21,7e27b6886a,76d77faf69,aa240e,2483,60675.16,299852,10,109d565a90,N,e62e,f114ce,b53a17,e87605dcf4,eca2,0,1,edce,2ed4,Series 2,5682594,d4cd,9dc9f7,5743,2000000,N,0,0,81db,0,1f,Married,PG / Professional,INDIA,a9,a9,aa,TEACHER,,Post Graduate,N,HINDI,600000,N,Service,Yearly
40,No,19/1/21,732aac5b71,6f23f8490f,2d412f,58,50000,435357,12,0ffd408d7a,N,e62e,99ff4a,1fdf49,3d80a371fe,f7b0,0,1,edce,c4e8,Series 2,5160888,d4cd,79a06f,c4e8,500000,N,0,0,efc5,0,1f,Married,Graduate,INDIA,a9,a9,aa,MANAGER,,Graduate,N,HINDI,540000,N,Service,Yearly
41,No,6/1/21,b8065ae578,b7665eaea2,2f8b93,58,12037.76,879152,30,0e3a08c2c2,N,331f,c0a4a4,7e495a,434922d397,0ff1,0,1,edce,2ed4,Series 3,9983007,d4cd,179a3a,5743,5000000,N,0,0,b7e7,0,1b,Married,PG / Professional,INDIA,a9,a9,9c,MANAGER,,Post Graduate,N,ENGLISH,600000,N,Service,Yearly
42,No,4/1/21,6395973540,3bad0315f1,58ee39,2483,49000,276525,12,63f8b3e696,N,e62e,,5bee9c,bb5a960555,eca2,0,1,a48c,c4e8,Series 2,9918194,d4cd,9dc9f7,c4e8,490000,N,0,0,efc5,0,1b,Married,Graduate,INDIA,a9,a9,9c,HOUSEWIFE,,Graduate,N,HINDI,480000,N,Housewife,Yearly
43,No,7/1/21,ede70650e7,87766e5b1e,ce62bd,58,150000,289195,10,893ea4a993,N,e62e,f114ce,60e599,4a11c1d0bf,eca2,0,1,a48c,c4e8,Plan Gold Cover - Series 3,9981584,d4cd,9709ef,c4e8,1500000,N,0,0,2a44,0,12,Married,Graduate,INDIA,a9,a9,9c,DOCTOR,,Graduate,N,ENGLISH,800000,N,Service,Yearly
44,No,1/1/21,d512dbdc1b,640cb49c07,e0bafb,2483,24932.64,768890,12,78150e5157,N,e62e,b78361,d11570,b37a84746d,f7b0,0,0,a48c,803,Series 3,9515392,d4cd,8a5830,803,160000,N,0,0,5876,0,1f,Married,Intermediate (10+2),INDIA,a9,a9,aa,AGRICULTURIST,,HSC,N,ENGLISH,300000,N,Agriculturist,Yearly
45,No,7/1/21,0781cacaa9,085ec1b4c0,7412b2,2483,150000,227259,12,99ad7f0dcf,N,e62e,f114ce,2c5209,c7f9d96713,eca2,0,1,edce,c4e8,Series 2,5068025,d4cd,f6e22c,c4e8,1500000,N,0,0,efc5,1,1f,Married,Graduate,NRI,a9,a9,aa,DRIVER,,Graduate,N,HINDI,800000,N,Service,Yearly
46,No,6/1/21,850b86bd18,027fae8242,184985,58,14384.2,267225,21,b289344842,N,a3d7,766048,7e495a,1ace0f1ae4,047e,0,1,edce,2ed4,Level Cover - Series 4,5,d4cd,cf21a5,5743,10000000,N,0,0,3.20E+07,1,1f,Married,PG / Professional,INDIA,a9,a9,aa,PRODUCT MANAGER,,Post Graduate,N,ENGLISH,1500000,N,Service,Yearly
47,No,13/1/21,3702acb01a,8dec5e80df,6e40dc,,19124.36,739757,15,4fdeec377b,N,331f,b78361,7e495a,b191e7d81c,f7b0,0,1,edce,2ed4,Series 3,5471482,bf55,ae2425,66c3,200000,N,0,0,7d8e,0,1f,Married,School (upto 10th),INDIA,a9,a9,aa,GANRAL STOR SHOP WONER,,SSC,N,HINDI,240000,N,Business,Half yearly
48,No,28/1/21,b3a5126fa4,86273429c3,193508,2483,50000,222157,10,aa9d809885,N,331f,f114ce,7e495a,db3ad3e2da,eca2,0,1,a48c,c4e8,Plan S - Series 2,5392189,d4cd,df2173,c4e8,500000,N,0,0,e548,0,1f,Married,Graduate,INDIA,a9,a9,aa,COMN TECH,,Graduate,N,ENGLISH,480000,N,Service,Yearly
49,No,8/1/21,626629aaf5,139d53f7e6,86c8be,58,25634.08,175599,25,fbb290824c,N,331f,b629fd,7e495a,725e6621e7,b629,0,1,edce,2ed4,Series 3,5480573,d4cd,4f2376,66c3,500000,N,0,0,7d8e,0,7e,Married,Graduate,INDIA,a9,3d,aa,OWNER,,Graduate,N,TELGU,720000,N,Business,Yearly
50,No,5/1/21,1d880c34b9,9343bae073,1b34ba,58,46298.8,252252,15,e6979c7fc4,N,331f,f114ce,7e495a,b1bb1338a5,eca2,0,1,a48c,803,Series 3,5791739,d4cd,70ff50,803,500000,N,0,0,5876,0,fc,Married,,INDIA,a9,a9,9c,ACCOUNT'S,,Post Graduate/Professional,N,ENGLISH,344400,N,Service,Yearly
51,No,11/1/21,7870699f5c,08cbc7f8c5,6b5437,2483,15000,795970,20,5b20c479ae,N,331f,b78361,7e495a,b843e00d8f,c586,0,1,edce,c4e8,Plan T - Series 2,5069898,d4cd,929192,c4e8,150000,N,0,0,e548,0,1f,Married,School (upto 10th),INDIA,a9,a9,aa,SHOPKEEPER,,Below SSC,N,HINDI,240000,N,Business,Yearly
52,No,13/1/21,336b8ee129,3dd88da451,d6590d,58,76431.88,205590,20,08e8a49382,N,e62e,766048,d02067,ff804b834d,047e,0,1,edce,2ed4,Series 2,5066101,bf55,a4a2d6,5743,2500000,N,0,0,81db,1,3d,Married,Graduate,INDIA,a9,a9,9c,CLASS 3 OFFICER,,Graduate,N,HINDI,900000,N,Service,Half yearly
53,No,15/1/21,9b6eee345d,5836c0f693,85e1bf,58,102250,817553,15,a6e2e8228d,N,e62e,aedf2f,254c62,1bfdc554f2,c586,0,1,edce,2ed4,Series 3,5379730,d4cd,b7e9a7,803,770000,N,0,0,56ca,1,fc,Married,Graduate,INDIA,a9,a9,aa,REAL ESTATE,,Graduate,N,ENGLISH,600000,N,Business,Yearly
54,No,15/1/21,25ecaf4dc1,e67b3161f5,26a6de,2483,120000,261995,10,7a075b7d19,N,e62e,766048,6c4076,489a982e41,047e,0,1,a48c,c4e8,Series 2,5382170,d4cd,dda782,c4e8,0,N,0,0,2734,0,fc,Married,PG / Professional,INDIA,a9,a9,9c,ASSISTANT TEACHER,,Post Graduate,N,GUJARATI,650000,N,Service,Yearly
55,No,4/1/21,fccb6ce3f4,25f6e4b734,e24d1c,58,99000,869957,10,f01f185cb2,N,e62e,,00f436,0daf245908,c586,0,1,edce,c4e8,Series 2,5047346,d4cd,2a5e2e,c4e8,0,N,0,0,2734,0,1b,Married,Graduate,INDIA,a9,a9,9c,HOUSEWIFE,,Graduate,N,HINDI,600000,N,Housewife,Yearly
56,No,4/1/21,40ed5a8b63,146dc6c9d0,d6590d,2483,50000,209971,10,cb1d7e75f6,N,331f,766048,7e495a,0c0e178e2e,047e,0,1,edce,c4e8,Series 2,9559474,d4cd,95a5bc,c4e8,0,N,0,0,2734,0,b7,Single,Graduate,INDIA,a9,a9,aa,AGRICULTURIST,,Graduate,N,HINDI,1000000,N,Agriculturist,Yearly
57,No,5/1/21,843002cebd,3878511879,9f6c88,58,50000,251559,12,cbf6b54bc5,N,e62e,f114ce,e57eb3,34664f9486,eca2,0,1,edce,c4e8,Series 2,5680819,d4cd,f6e22c,c4e8,500000,N,0,0,efc5,0,1b,Married,Intermediate (10+2),INDIA,a9,,9c,HOUSEWIFE,,HSC,N,HINDI,360000,N,Housewife,Yearly
58,No,6/1/21,d704dd5fd9,2a20daf357,,2483,19507.67,257593,10,4a34b3569e,N,,f114ce,a86ea5,53cea0f31a,047e,0,1,a48c,aaac,Series 3,5041727,d4cd,cf21a5,aaac,195000,N,0,0,dcf1,0,1b,Married,Graduate,INDIA,a9,a9,9c,OFFICERS,,Graduate,N,GUJARATI,360000,N,Service,Yearly
59,No,5/1/21,1bde16cddd,d5bb0f35f6,3fc0a0,58,50000,287454,10,00d35b4dfe,N,e62e,f114ce,d651cb,9eb9f55857,eca2,0,1,a48c,c4e8,Series 2,9951936,d4cd,9709ef,c4e8,0,N,0,0,2734,0,1f,Married,Graduate,INDIA,a9,a9,aa,OWNER,,Graduate,N,HINDI,600000,N,Business,Yearly
60,No,6/1/21,826296c72f,eeb8eb66c1,026e6f,2483,17811.96,259354,10,aefd385267,N,e62e,f114ce,c6d158,2c856e126c,eca2,0,1,edce,2ed4,Series 2,5066429,d4cd,9dc9f7,5743,1000000,N,0,0,81db,0,fc,Married,Graduate,INDIA,a9,a9,aa,TEACHER,,Graduate,N,HINDI,420000,N,Service,Yearly
61,No,1/1/21,f3735d6a32,4862a21e52,2f8b93,58,150000,855354,12,d43e8208f1,N,e62e,c0a4a4,2c4909,259699f18b,0ff1,0,0,edce,c4e8,Plan Gold Cover - Series 3,,d4cd,666be9,c4e8,1500000,N,0,0,2a44,0,12,Single,Graduate,INDIA,a9,a9,aa,SOFTWARE ENGINEER,,Graduate,N,ENGLISH,1000000,N,Service,Yearly
62,No,18/1/21,46ab351515,f5925ddf26,c0ee6d,2483,25000,245525,10,7c913e1be7,N,f3e3,766048,228ef5,a099d268ec,047e,0,1,edce,c4e8,Plan T - Series 2,5,d4cd,41efd3,c4e8,250000,N,0,0,e548,0,42,Single,Graduate,INDIA,a9,a9,aa,AGRICULTURIST,,Graduate,N,ENGLISH,300000,N,Agriculturist,Yearly
63,No,4/1/21,378ff28e00,bc433b4852,4f1857,58,50000,738967,12,30a3074099,N,e62e,b78361,d140ff,23c40c485d,f7b0,0,1,edce,c4e8,Series 2,5458611,d4cd,aebe24,c4e8,500000,N,0,0,efc5,0,1b,Married,Graduate,INDIA,a9,a9,9c,HOUSEWIFE,,Graduate,N,HINDI,356000,N,Housewife,Yearly
64,No,7/1/21,f7078a20bd,8d4b6c454c,abab0e,58,37305.92,867558,10,44e1d1fd77,N,e62e,aedf2f,8e17b4,5162a5f093,c586,0,1,edce,2ed4,Series 2,5072335,d4cd,2a5e2e,5743,500000,N,0,0,81db,1,1f,Married,Graduate,INDIA,a9,a9,aa,MATER SOFT MEN,,Graduate,N,HINDI,500000,N,Service,Yearly
65,No,1/1/21,c71754c190,960e59ccfa,7fd241,58,250000,267553,10,31ad5a4c58,N,e62e,766048,4c0405,bc309444ae,047e,0,1,edce,c4e8,Series 2,5099420,d4cd,dda782,c4e8,0,Y,0,0,2734,0,3d,widowed,PG / Professional,INDIA,a9,a9,aa,CIVIL JUDGE AND JUDICIAL MAGIS,,Post Graduate,N,GUJARATI,1500000,N,Service,Yearly
66,No,11/1/21,c795146646,6b6701ce60,2ea4bf,2483,22113.6,127777,15,004fa5fa58,N,331f,b629fd,7e495a,de8e8f06e8,b629,0,1,edce,2ed4,Endowment Plan - Series 4,5346786,d4cd,c2d3a4,803,300000,N,0,0,1bb6,1,1f,Married,School (upto 10th),INDIA,a9,a9,aa,PADY BUSINESS,,SSC,N,TELGU,300000,N,Business,Yearly
67,No,1/2/21,0dcd50e5b2,c1e455a667,da9107,58,300000,774551,10,b3fa4e1d45,N,e62e,b78361,655d4d,be52d7b560,f7b0,0,1,edce,c4e8,Plan Gold Cover - Series 3,5489091,738a,82a624,c4e8,375000,Y,0,0,2a44,1,fc,Married,Graduate,INDIA,,a9,aa,PROPRIETOR,,Graduate,N,ENGLISH,8500000,N,Business,Single
68,No,7/1/21,07aef7f04a,28fd128b36,da9107,58,300000,774572,10,bd30aae902,N,e62e,b78361,020dfb,90744500d5,f7b0,0,1,edce,c4e8,Series 3,5181943,d4cd,82a624,c4e8,3000000,Y,0,0,d2a9,1,c7,Married,PG / Professional,INDIA,a9,a9,9c,MANAGER AT SINGHAL CONCAST PVT,2,Post Graduate,N,ENGLISH,1100000,Y,Service,Yearly
